context,response
what does everyone here use to do webdevelopment,a text editor vi scite whatever your preffered text editor is
how can i play mp3s in ubuntu,httpwwwubuntulinuxorgwikirestrictedformats
if you want to use over 3gb of ram then it is easier with a 64 bit kernel,maybe that's why it was telling me there was only 32 gig of memory
and can i take pidgin out of the 'envelope',you need something like xbmc for that it is a media library
the amd64 runs faster because it has twice as many memory pipes between the cpu and the memory,i never said the 64bit version wouldnt work i said armyops wont work with the 64bit version
wondering wat the best way to run winxp in ubuntu pls,virtualbox is probably easiest i don't know how fast it is though
join ubuntuofftopic please if you want to talk about non support topics,i meant to ask about git on ubuntu
i forget how to kill a dead app,help
there is no client for linux,yes
boot windows and reformat the partition you gave to ubuntu as ntfs done,you'll want to run fdisk mbr as well
umm whats the command to find out what my video card is from terminal,you can try lspsi
i can only use sudo in terminal correct,you can only type it in a terminal yes
try kubuntu i know its annoying to hear this,of course
lots better than my vista,i'm glad to hear it
can anybody suggest me a good video converter,thank you
another lnk for info httpslistsubuntucomarchivesubuntudevelannounce2007june000304html,does that hlp
kk cool thanks,xchat is nice irssi for command line bitchx is not available anymore for security reasons i think
anyone care to help a complete linux newbie,ask
how can i see a lits of files belonging to a specified package,dpkg l package
long time ago i used devilspie for that,devilspie
what is the root password for live session guys i can not activate b43 driver without it,you can sudo i
is there a graphing calculator for ubuntu,does anyone know of a graphing caluculator for ubuntu
lol,thats interestingim in highschool so i do do work occasionally but i would like my games to work as well
unlearn what you've learned about windows when using linux,so there isn't a spoon
is it out yet,is it out yet
parsi chmod 777,parsi to the file
from what to what,what version of ubuntu are you using
im trying to adjust things as well myself,you can turn 'expand' off in the panel properties
ok fine i have a question how do i do load balancing across two t1 connections on hdlc0 and hdlc1,ok let me ask a serious question then
kopete is another client,is kopete stable
type lsusb on ur terminal and paste the result,is it okay with cheese
how do i get intel pro wirelss working,its not recognizing hardware
am i able to jump from gnome to kde on my 1004,wow
it's virtualbox,case sensitive
i know vlc plays anything i mean the plugin of firefox plays flash video,the vlc plugin for ff is used by the flash video replacer plugin
gnome3,use classic ubuntu it's cool
depends on the server and what protocols it offers thunderbird can use pop3 or imap,yeah imap but how can i download all the emails
hey when i compile a new kernel how do i make a new initrd image do i even have to,how do i make an initrd
nvidia,oh my badnothingjust go here httpshelpubuntucomcommunitybinarydriverhowto
how do you check what version of ubuntu is running in console,perfect thanks
how do fix vlc in the terminal,fix what
hi any,who version the ubuntu i install in computer intel xeon quad core
hello every body,i m new here
freenx,freenx should be available on the seveas repos
and if that were a good idea it'd be done by default it isn't,can you explain why thats a bad idea
ordering a new dell server etc,try removing and reinstalling with aptget
my ipod mounts itself,what did i do wrong with that command
what's the default command to start an xfce session,stratxfce4
i hate to ask but how do i compile a targz file,you don't
ioslipstream there's a bunch of wav files on your system already tho,did i miss something
isn't it 666,yes 666 is readwrite no execute
quick question if i install edgy when the release version comes out will the automatic updater keep it up,yeah
it goes down temporarily quite a bit someone posted this in here as an alternate poolskskeyserversnet,thanks
try join bash,ok thx
eek have you rebooted,hehe yeah but that happneed to me once and it went away on reboot
i'm here whats up,i was saying why i was on irc
chrisgagnon tuxracer is car racing,chronos dosbox and bestoldgamesnet
it depends on your taste xchat xbitch irssi,oh okay
you guys do you know anythin' about gnomevolumemanager it won't see my usb key,help
ubuntuguideorg,that was nothing
i have a dell 5150 with minipci bg wireless builtinhow do i get it to work in ubuntu,you might need to use ndiswrapper
i think this is a good for asking about ubuntu,send you a msg
static mapping whatever different devices call it different things,funny google seems to think static dhcp exists
no,libvirt
i don't know but easyubuntu can,ok
i mention the name of whom i am speaking to,ooops didn't noticed it p
check which device it is outputting on,go to system preferences sound to see what device your audio is set on
caution there's a site olddistributions,caution httpoldreleasesubuntucomreleases
i have a question about firefox,anyone up
it wasn't that big a paste,he wants to paste top
what is the best way to do a periodical backup of my database,shell script
you using gnome int he default ubuntu,do you not have the window tab list at the bottom of the screen
any solutions,upgrade
i am so lost when it comes to using linux,you might find a class at your local community college
still available in the repo,i know zetheroo nope i mean synaptic
yes,asking metaquestions is discouraged
yes there is but meh,the ext2 driver is safe
hello,helllloooooooo
hello folks,hiya
hello guys i would like to know which version i should prefer to my online server edgy dapper or feisty,hello guys i would like to know which version i should prefer to my online server edgy dapper or feisty
can anyone help i am trying to upgrade to ubuntu 1010 from 904,thank you
hello,is possible have glibc into ubuntu
yes as long as you don't spamannoy,ty
oh forgot i was in here just did that for a thing in offtopic,beryl kerik
ubuntu bg,could someone give me the link to that bg chat
anyone installed itunes through wine,help in winehq
virtualbox,ok thank you
sry bout that the bot died but there is the information i was trying to get you,you need to look at the troubleshooting seciton basically need the proper firmware for it to work
rhythmbox can't read the id3 tags from my songs and shows the wrong song duration do someone know the problem,do a aptcache seach libtag
when im browsing some sites i hear random breathing from my computer l,like an audio of someone breathing lol
xine,xine isn't here
macromedia doesn't support amd64 on linux,httpswikiubuntucomrestrictedformatsactionshowredirectflashheadf4b5a0e592cf89fac0bb7f5388c8e1733413af21
hmm,anyone know what the package name for gnome is
gnomelookorg and kdelookorg have emerald themes to dowload,i don't believe they package that anymore
hi does anyone know what tuner i can use to listen to a radio station listenpls,try xmms
an advanced user would have sti drivers from repos working,they are still trashy drivers
great,now ubuntu just wont boot
hi i have some problems with grub i want install fedora but save ubuntu's loader help me please,just dont install a boot loader then on the fedora install
hello,any body her
ls,a means all and l means long list format
use gksudo,you can just use sudo for aptget but you might want to use aptitude instead depending on what you install
sorry i have tourretts,no biggy just that women and children frequent this channel
ok no bot but troll dont feed the trolls,it's ok to say i'm a troll
how do you behave with a nickname like that,d
do someone know how to get 1104 final release,wait
a command to hose important settings,er kinda
how do you edit etcfstab so that any user can mount and umount a hdd,add user to the line
yes but it wont keep the rights,i expected that i was just curious about physically syncing the data
applications accessories terminal,thanks
i use 32m,so 500 mb is nice
can some one direct me to a channel for debian packaging help,debianmentors
so many protections,how do you mean
xdmcp,xdmcp raynob
how can i get the latest vertion of clamav in my rep i use edgy,sudo aptget update
aptget update kadu is not working,but honestly a security based distro that runs the entire desktop environment as root
how do i install googlechrome browser,there is not google chrome for linux yet
how do i run usplash without restarting my system,and how do i end it
er was that supposed to go to me,sorry dude
can anyone recommend a better irc client than xchat,try konversation
does anyone know an fairly easy way of building guis for shell scripts,any program script language that it's easy to do in
ifconfig look at signal strength,iwconfig look at signal strength
debian,yes
how can i convert ogg movies to other video types such as mov or avi,try vlc i think it can convert file wizard
you might have to set the display variable which is probably '00',its offtopic here so php
seryth you can try python and twistd,i'm learning python what's twistd
what is your graphic card ati radeon,no its an old matrox
any tips on detecting a scanner,when you plug it in with the power on you could check dmesg to see ifhow it was detected
does ubuntu support duron processors,yes
how is everybody,a little aggravated you
try an 'alternate' iso if you can put up with a textmode interface no worse then winxp's installer,thank will try and report back
i can not do a 'aptitude update' without errormessages could you help me find out why please see here httppastebinorg55402,i had that happen i just ran update again and it cleared up
no help with ndiswrapper and rtl8185,azureus 3042 in classic mode
maybe via envyng,envy offers the same version of the driver ubuntu already has installed lol oh well i wont mess with it
yeah,ok gparted is open
what is the problem i haven't notices his quesiton,what is smilevil 's native language
hey how u del games,hey how do u delete games off ya list
hi is there someone who fixes bugs on launchpad,well depends on what bug you are talking about
can anyone give me a tip of a file manager for xubuntu which also have ftp capability,what file manager is xubuntu using dolphin
a very limited number of performance increases takes advantage of some things specific to your cpu architecture,thanks
alguien habla espaol,un poco
do anyone know where i can get a firewall to ubuntu,addremove programs firestarter
does someone wanna tell me how to get to the effing kde control center,please
how can i put ubuntu into a kiosk mode,carefully
if you like a bit of troubleshooting excitement help testing dapper the next release of ubuntu,was off reading about hardware
co sycha,country
anyone no partitions available in the installer,are you using raid disks
i tried to build a linux from scratch system that wasa nightmare d,i bet slackware was hard enough
someone told me u could help with xfce,no
how can i solve io error problem while checking the filesystem at ubuntu startup,same problem here
i have a pc formatted ipod and was wondering how i format it to work with gtkpod,anyone
ok,out
what commandline tool can i use to print a postscript file,lp ps
hi could someone direct me to the documentation regarding upgrading a system using aptget,i mean upgrading from breezy to dapper
they actually have lsb requires support for an old version of rpm which is covered in debianubuntu via alien,ext3 definitely
can anyone tell me how to scan and save it ontothe computer,scan and save what
pwcrlinuxbrb yeah yeah,i think he meant share it for a long time like on a server or something
how is the release candidate different from the version that will be released in two days should i wait,if you have to ask you should wait all further jaunty questions in ubuntu1
what is the corrrect thing to type,sudo aptget install xchat
hi guys can you please tell how to install targz file in ubuntu,first of all you need to unpack the tarball and read the install and readme files in it
quick question does ubuntu 1110 already handle zip and rar files can it extract them without any special apps installed,you will need to install unrar to add support for rar zip is there by default though
can you tell me how to install skype,no caps please
i know but there must be a good reason,im interested to know what the good reason is
how do i make vlc my defualt media player,install gnomecontrolcenter if it's not already and under system preferences main menu system i think there will be an option
904 jaunty jackalope,1104 today an ring ceremony tomorrow which means i get to leave school after it and be excused
there are a few of them,i use debuild
you need to ask the question for people to know if they can help,ask in fedora this is ubuntu support
on my powermac my linux install cd ubuntu get hung up on a happy mac when i boot holding c,i've tried dapper ppc install and breezy ppc live
k thx chadarius gonne try it and bb real soon if it isnt k,k thx chadarius
i hear the linux wrt54g gplware code might be of some use,do they have a usable driver
you're right but there isn't audacious channel and when it is it's empty s,audacious' channel is somewhere else
linuxatemyram resistance,bah
it looked like that from the pastebin output,lol
kde has a very well done 'font selectionwindows perferances' tools,where
thanks,cplay is a ncurses front end for mpg123 might want to look at that also
n sorry tab is my friend lmao,the kernel won't allow two processes to bind to one prot
i believe it is 1004 from earlier maybe i should check again,yes that is weird cause i have it and it works fine
you need to edit it as a superuser with sudo,type gksudo gedit etcx11xorgconf from the terminal
ah thanks,is there any way to get to this using the graphical file browser or only through terminal
what do you call ubuntu that you have to pay for,jewbuntu
yep,have a read of that link and you can make it work very easily
does proftpd have gui,for what
'top' would help you,what wm
for 200 bucks for a ground unit i would really consider it,i have a thin client with a gigabit connection
hey does anyone know of a good bittorrent program for ubuntu,until now i've had the best results with azureus
i still can install programs but cant remove them,is this just at add remove or using command line also
and you're able to get other thumb drives to work on this computer,none
gpgkey,hellowhat folder are the gpgs keys stored in on my ubuntu server
take windows chat elsewhere please,sure
or is it all prefernce,really the difference will only be in the kernel version and patches
19216811,most of us do
im trying to use partition magic right now,ubuntu does repartitioning during hoary install
do u have drivers installed,what drivers on 1004 it didn't need any drivers
you can't use an intrepid package on a previous version,you must build from source packages having the same names does not mean they are compatible with whatever requires them
does anyone now hwo i can write in a txt in cc,does anyone now hwo i can write in a txt in cc
why are hd videos so laggy while their audio isn't,that's incredibly vague
care to earn 50 karma points,indeed it is
what are you using now,konversation is good
if you mean conflict with it then no,thanks i'm viewing it now
er,good plan
how do i see how much disk space ubuntu is usinghas free,df h
ndiswrapper would be the only alternative,milamber thanks
what is nautilus,is nautilus and dolphin the same thing
anyone here know a bit about ubuntu and gnome that could answer a quick question,you should just ask the question if people have an answer and can help they will respond
good,i personally use profrtpd it's pretty easy to set up
how can i map windows network drives in 606,read the message from the bot
define 'environment',um 'cd'
if i install grub will i be able to boot windows,will grub overwrite windows bootloader
yes,where can i get a list or a search utility
silly question what do i need to download from a svn server,for subversion sudo aptget install subversion
if i want add that part for swap what of those to use,i don't use either for swap raid doesn't make too much sense not so sure about lvm
harry many people,why
stop that,offtopic here
on esho online d,leon now i got that firmware version v207 but still the versy same
yeah but the navtive 7 is pretty nice,native
backport,you must get in a lot of fights
when i write mkdir p railsgeneratorsextjsgrid where is extjsgrid created,at railsgeneratorsextjsgrid
y do people use xubuntu,i dont see how its better than kde or gnome
i assume they forgot to add the ppa to add oh yes as trism just published for us,not a ppa it is in main
anyone can answer an about coppermine please,ask
the programs i can use to follow rss,don't rule out google reader
what command would i use to rename all files ending in htm to ending in html,mv htm html gave me the error 'mv target html' is not a directory' what am i doing wrong
all kidding aside isn't there a way to get a higher screen resolution than 1024 by,i'm reading what you wrote ubotu
libre office,httpwwwomgubuntucouk201101newppamakesinstallinglibreofficeonubuntueasy
is there support for tv tunercapture cards,is there support for tv tunercapture cards
is there a terminal command for closing your cd tray,i know open is eject devblah
is there a way to play with reverb effect filter in vlc player,if you fine with audacious
anyways anyone figured out what 'online accounts' in ubuntu 1110 is yet,i believe that's ubuntu one
never remove a symlink from etcrcxd,just have to rename the symlink
does anyone know of a gook music player besides amarok amarok is broken,it wont play anything it just zips through it in a tenth of a second and stops
i have checked alsamixer and unmuted everything and put everything to highest volume,do you know how to copy something in 'irssi' d
httpsshopcanonicalcom,well that's the thing i don't really want anything
need my damn bottom toolbar back aghhhhhhhhhhhhhhhhhhh,lolwut
google etcrclocal,given its such a small line can i just add the line to the initd file
is there a deb of flock 20 for amd64,and does anyone have firefox 3 or iceweasel 3 running on amd64
how would you recursivly chmod only directories chmod 770 perhaps,not sure check out man chmod
do you have access to the server if yes then do it on the console,ah okay then you'll need to check it out to be sure that it can be reboot when it's done
thank you thank you,watch the langugae please
or via apachectl,or via apachectl
incredibleits the first time i install ubuntu and root pass doesnt askednow i dont know what pass has,fuck
anyone quaal,ot quaal edelrsx
right click on the channel tab settings,minion35 thanks
the port is 5900 i believe,somewhere in this thread they mention a way to change the default port httpwwwubuntuforumsorgshowthreadphpt26815
aptcache search libjpeg,oh thanks now it's done thanks
maybe just a problem with youtube,if you are running 102 there are many bugs
maybe apropos democracy,should have searched man pages for a mention
you can use checkinstall to make a deb of your make make install process and then uninstall the deb,thanks
is there a command that will show detailed hardrivepartition info from the command line,thanks
dd maybe,try testdisk or photorec if you want an app both of them are in the reposs
you running on an inspiron,look at the remote option for thunderbird
2611 shows why they should have made a 27 branch,right
md5,is flash fixed
hello all,where would be a good place to stat to get my desktop to run beryl
qwntrywhow to get the list of all process that are running in my system,in terminal type 'top'
for c and c,buildessential
hello could anyone help me with being able to start the install with a usb keyboard,ok i will try to inform them
they can charge for support like they do with mysql,you can sell ubuntu you just can't sell ubuntu and not provide source code on request
hi,how do i cut the last 5 signs out of a string via the bash
i want alt tab to switch between every window instead of groups of windows,inside a program you can switch with ctrltab or the other direction ctrlshifttab
how do i make the panel flash when i get a message in gaim,i've asked this before and didn't write it down like a moron
linux makes me sadhow do i browse my cdrom,you should be able to browse it from the file manager
the qiestion is where i can download all pakages without use the installer gnome app installin ubuntu,you mean the repos url or you want downloadonly
what do you mean by audio file managing,he said audacious instead of audacity
hi broman,good evening ionphish
what is your problem,canonical
is there a terminal command,to check the of installed packages
that's not going to happen and this isn't the channel to complain to,i am thinking outloud
connection to ubuntu support,o man sorry i have to much in my head forget some time's the rules for all channels i'm in
no one here has installed compiz on ubuntu 710,how do i access it
w failed to fetch httparchiveubuntucomubuntupooluniverseyyakuakeyakuake2750ubuntu1i386deb,check the topic
hey,any1 online
19216801 is the default browser page of most home routers,many routers have small intenal ip differences mine is 19216811 it may work
how do you run a program from terminal without needing terminal to stay open,if you need to do it background and disown the program then exit the shell
i used to run ubuntu on my macbook very fast,ohh
repos,httppackagesubuntucomnattyunity
if you are using xchat why dont you save it as garminar said above or set settingspreferenceslogging to your desire,i did and seemed it worked it's already here thanks a lot all
any reason why ubuntu don't have an extract to element in the right click menu on zip files,installt he apropiate helper program in this case zip or 7zip
vnc indianmunnda,no it wasn't i installed it
can any one tell me how to set my own triva bot up and put it in my room,not here perhaps ask in ubuntuofftopic
they are in mozilla,thanks although for those who don't know saying instead of homeyourusername might be a bit confusing
is there going to be a gdm theme that is not as ugly as the one it has now,it seems so gay to have that shirtless guy on there
or anyone,how do i view my linux partition from the livecd
thanks,you can mount iso
just make a sym link,a symbolic link
i also tried seveas's packages but i cant fix the authentication errors,use a mirror for my packages
sacarlson looked aready lslsb shows it contected dnesg shows refirences to it lsmod shows the modsles are loaded,runnng 1204 lits
in ubuntu 804 i can not get 'sudo modprobe airo' to do anything it just sits there,what should i do
mediubunutu is only repositories so all you have to do is just download the packages,is there a java channel
95,nope that's ati for ya
firefox devours memory,what else is new lol
will that work on all linuxes or just ubuntu,just for ubuntu
echo free m head n 3 tail n 1 awk 'print 4'mb ram free will show you,he is not a member accoirding to launchpad
ext2 is prone to crashes,good old mutt or pine even though pine is not free
there is no exe this isn't windows,where do i find the executable for php
why is just about every one using ubuntu,morning
dwonload and burn supergrub disk,got it thx
does that mean windows is the best kickass os on the planet,dude look up ps feature list look how fast it runs and how powerful it isthen compare it to gimp
'hostname' which i think writes to etchostname iirc,doh hadn't seen that it writes it too slaps himself
its currently in my etcinitd,updatercd programname defaults
hardware,lspci
dpkg l ihopethisnam1,ahha thanks
thank you,my pleasure
so what can i do,backyup home dir and resinstall probably
ah thank you thats right,or sudo etcinitdgdm stop
mine works sec lemme confirm,i take that back mine is no longer working
flashpluginnonfree is free as in you don't have to pay for it,but it doesn't allow you certain freedoms
hi anyone familiar with launchpad bazaar native ubuntu packaging of a project with subprojects core and large test files,there is a packaging guide on the ubuntu wiki i think
i loaded the deb manualy on skypecom,thanks
this is an ubuntu support channel please take offtopic questions or discussions to ubuntuofftopic,johnficca please take this to ubuntuofftopic
is it normal to have 1520 updates to hoary a day,yea about that
no the system is designed to use as max mem as possible to speed things up,yeah
quanta has somw wysiwig features,i'm doing a ui prototype in html to send to the customer
do i need to do anything special to upgrade from beta 2 to final aside from upgrading packages,nope
ok,once in vivim the command to turn it on is syn on
it's bad,i even went back to windows once
where do i go for hardware problems,hardware why
monodevelop is an ide for c,many editors support c highlighting and such
is there like a trash folder for ubuntu,and where is it
hello all how can i enable disable an nic i have 2 nic,using command line
are you under a router,yes
hi,hello is ununtu compatible with tablets such as playbook ipad and iconia tabs
i try to run sudo and it ask for a pass,yes put in your password
how to stop gnome,stop lightdm
cause,nothing
do i just create two different partitions on the flash and that's that,i don't remember exactly but that's part of the gist
how can i tell wether a service is running,system administration system monitor
i need some help with my ubuntu installation,describe your problemquestion
how can i run chatzilla without opening firefox,i made an icon in gnome with 'usrbinmozilla chat' as the command
can anyone help me im havin issues using any of the gui kernel configs please help,have you read bimberi message to you
has ubuntu made any progress with 64bit users as far as streaming flashwindows media stream websites,why not rofl
bonjour,got a question can i manage an apache server installed on windows server 2003 via my ubuntu
did you change it for all color densities,yes
captainmorgan yarrrrr,arrgghh
does anyone know the max amount of ram ubuntu server x64 supports,hehe
what is a good programming language to start off with,thanks man
wow rhythmbox is very cpu intensive worse than amarok,gonna try banshee
anyone know if i can use amarok whit gnome,yea you can i do and i love it
does the machines ping each other,yes pinging each other
dont flood,its coz no one is answering or what do you mean
ot adelle25566,one time is enough
i'm running 64bit works fine here,not sure what you are asking
type this sudo usrsharedoclibdvdread3installcsssh,im restarting
you need the smbfs package installed,thx
tnx glebihan that's what i'm looking for,you're welcome
am in 1010,use one line please
i didn't know you could do that with a cd but you can with a usb,i was wrong you can create a cd with multi boot distro httpjeysundarblogspotcom200905multilivedistroinsinglecddvdhtml
close synaptic or update manager if they are open,df l will display what drives are currently mounted
anybody know of a good resource for finding linux apps comparable to windows equivalents,httplinuxappfindercom
in terminal type gksudo displayconfiggtk,no response for this command gksudo displayconfiggtk
or etcrcd restart,etcinitd
are you messing around with compiz,can someone help me with wine i want to play counter strike 16 some emulators and wolfenstein enemy territory
plus i don't think the devs like autopackage it doesn't exactly integrate with apt,is autopackage available in uni or multi do you know
alguem aqui fala portugues,english here only
i am trying to figure out if i should install tonight or wait til tomorrow,about 30 minutes
hi,can somebody help me editing grub so that i can change the default os to boot
well it means that you didnt exit your last one correctly,my lcd monitors do when i setup ubuntu on an older crt
try ctrlinsert there's a simple key combo to turn that off,i already found it in gnomekeyboardproperties
this ubuntu stuff is neat,but more wireless needs to work out of the box
is xubuntu ver 704 as good as ubuntu 704,any main differences apart from the gonmexfce difference will i be able to run all the apps on xubuntu
is it safe,match your hardware how
how do i resume downloads in synaptic manager,synaptic remembers and resumes auto
how about gnu octave,i will have to look into that onebut first we have to get freemat working to go with gimpshop
python,does anyone know python here
which is difference,altcd is text only install
sure even mplayer does that too,ah i see rythmbox
policy,ty
yea tell me about mp3,check your private messages
hello,does anyone here have an embarq router
do not suggest that here plz,why that is the solution to his problem
besides tor,you have to have access to another machine to proxy through first
jrib,deja vu sans mono httpdejavufontsorg
what u need to configure,is your sound not working
check out screenlets i think there's a rss reader there,going to check
yes you can still use a toolchain like in slackware,yes you can use synaptic to search for dev related files
blkid,thanks
you have a working zune with ubuntu,zune and linux hummm
the wranglers will know how to file it,i am one of those wranglers xd
gaimvv is like gaim but with more v's for your pleasuring,dont trink coffee thanx
will tar or compress compress tar files,tar is very versatile
guys anyone using aptfast,aptfast doesn't downloads dependecies of dependencies using axel any workaround for this
pastebin lsmod,actually aptget wgetpastebin
open a terminal sudo gedit bootgrubmenulst,thanks
i don't need or want to run a crappy sound deamon,check the forum on stopping pulse audio there is something about it there i am sure
just another gui,isnt it 'kubuntudesktop'
is there any way to reinstall everything in ubuntu,reinstall ubuntu
patience phix,i relise that you could of at least acknowledged my question at least
so i'm downloading the new opensuse any tips for using a rpm based distro,lol sorry
are you using a laptop if so are you using the hardwired network port,yes i am using a laptop and its wired port
seriously thats my only hope huh,kill and reinstall
lsof,thanks
how do i get a lost of all packages installed in my ubuntu,list
try closing all apps games programs then opening only your browser do you get sound then,does that mean the irc too cuz i have tried all other apps
i had that problem too on dapper,httpwikiberylprojectorgwikiinstallubuntudapperaiglx there is 'how to install aiglx' on it
i dont think you can pretty sure thats hardcoded,i remove icons in buttons so maybe i can do this and for the thiss applet
you can't do rar archives with linuxexcept wine,license of rar
gksudo for gui apps,you will mangle the ownership of iceauthority and cause issues
hello,i am having a problem with sudo i have searched all over and it looks like i cannot fix it
ip will not help google does geolocation set your google prefs to always use english,i've alrady tried accessing the us ip does work
themes tanners,ot mt
can any buddy tell me how to know about the battery cell of my laptop from inside os,cat procacpibatterybatinfo
no root in ubuntu,having a root user is a liability
powernowd should be able to do that,should work yeah then run etcinitdpowernowd start if its not started automatically
did you unmount it before trying to resize it,dd copy but you will need to fix mbrgrub issues
how do i install a deb package while making it install all other dependencies,how do i install a deb package while making it install all other dependencies
since it's in jaunty perhaps prevu can help,cool prevu looks great i'll give that a try thx
what is the easiest way to resize ext2 partition,ubuntu live cd can
how do i grep for the same words seperated by a space,grep 'foo foo'
hi,iam new to ubuntu
how to get the field describtion for vmstats in terminal,it's right above the lines
system preferences preferred applications,thank you sir
can anyone help me with soime keyboard issues,some
that can be very hard to solve is this something new that just started can you boot in recovery mode,just trying recovery mode now
how do i find out what scripts are run when i unplug the ac on my laptop,those usually sit in etcacpi
google it,no it's not
is there a radius server precompiled for ubuntu,there's freeradius radiusdcistron and radiusdlivingston
i'm having an issue with the update to ubuntu 1010,this is the greatest one yet my second monitor does not work at all
can some recomend me a pci wireless card that works with ubuntu with little to no hassle,any smc manufacturer with atheros chipset
just right click on your iso in the file manager and select 'burn to disc',it should it always has for me
you dont need apache just to run an mysql database,no ok sorry still learning all that stuff myself
so uhh anyone know how do i check which program has control of the sound card,kitche is the man
so i can get some help with something,imageshack or photobucket
which is the right way to pronounce 'ubuntu' which is the strong silable should i say 'ubuntu' or 'ubuntu',the first one
try burning the cds at a lower speed,i use the dvd version but i can read the file under windows
hey is out yet,yes
is the ubuntu dvd version worth the download,the live cd overwrites the mbr without asking
yes your right thanks mate d,np
to any website but i can access what is the possible reason,many browsers have independant proxy configs from the system
hey,can anyone hear me first time irc
how can i stop apps using my sound card i have a usb headset i want them to use instead,double click the icon in the task bar the file change device
shutdown h now,it just makes it halt i tried and p
httpswikiubuntucomliveusbpendrivepersistent stepoffset,i have persistence working fine but you can't perform a complete upgrade
which version of ubuntu,it's dapper and it uses 26156
hi,just ask the real question
fitzsimmons best thing right now is wait some more,xappe good point
the 'restricted' drivers are ubuntu packaged versions of the ones from the vendors,yes maybe i misread before
i hane not been able to install ubuntu as windows boots ubuntu should install in that environment,you have to make your machine boot from cd which means tweak the bios
that command does not do all the checks that the upgrade manager does,my mistake i thought id did
yes and the solution is install azureus from sourceforge,err just install it over the one i got from the repository
you should install grub,what you problem follower
if you don't want to upgrade for a long time dapper otherwise edgy,wrong person sorry
upgrade your windows drivers,wait you get artifacts with it on
refused,thanks
supermatt1000are you a green bay packers fan,yah
then ask for it,httppasteubuntunlorg1432
how do you untar a tar tar xzv blahtar,tar xf xxtar
how do you compile things ie programs i've just dl'd,there's probably instructions but it will be soemthing like configure make make install
system preferences remote desktop,there are many other ways though like ssh
better to reboot and choose recovery,a root password is as secure as the user who sets it not secure at all
is ne1 a member os asmallworld,of
does someone know the differences btw ubuntu iso of cdrom and dvd,the dvd has more on it
good morning is there someone who installed 'skype for linux repostitories,is there anyone who knows how to open this file etcaptsourceslist
i have tried the firefox package for hoary in warty and it worked fine,that sounds safe
often deletig the hidden filefolder in your home dir is enough,that reinstall the config how odd seems wrong to me
this one,i just installed it for the first time it was the easiest install of any os i've ever done
what are the most performant nvidia drivers the open source ones or the official binaries,the proprietary imho they don't work with maverick yet
is there an ubuntu 904 channel,you're in it
i'm new to linux and command line how do i compile and run a java source code,join java
theres quite a few of them that are good i personally like gnomebaker but k3b and brasero are good to,wait are you talking about for windows or for linux
i don't seen anything bad in microsoft or apple they are just doing money,business
there are too many people joining for the moment,stormx2 it has been like that for a few days already is there any way to get in
hello every one im new to this channel,can u show me how to do it
hi all,anyone remember the command for edit boot scripts
sudo vi etcfstab,i guess that would depend on your etcfstab entry for data and your users privliges
vim vi emacs,tv
hey guys im having a nickserv problem its no longer identifying my password,ok
where can i find reps,where can i find extra repositories
hi guys has anyone gotten 'alacarte menu editor' to actually work,works for me
ugh i highly highly doubt it,didn't think so either
no you have to check this,httpiphonemobilblogspotcom
does anybody know how to disable the auto completion on gnome apps like nautilus,setting is probably in gconfeditor
ho do i change the owner of a folder i tried sudo chown username mediadisk,there's an easy way to do that but i'm not sure how correct it is
machine rather,anyone here experienced with installing linux on an ibm laptop
whereis bitlbee,probably in usrbin
amit what kind of bios,httpwwwtechfaqcomresetbiospasswordhtml
hardy in ubuntu1 please and audio is a sore issue right now,thanks will try there i'll keep that in mind and try not to offend anybody
whats that option,more
does anyone know any hacking tool kit for ubuntu,ping netstat openssh p
so what are some good native linux games,bzflag
might be easier just to grab a new network boot disk shouldn't be very large,breezy is really stable now and recommended okay i'll install that then
my wireless usb adapter detects my network but doesn't connect any help please,my wireless adapter can see my network but can't connect did anyone have this problem before
anybody know anything about fixing a once working wireless card,what card
which is the best support unicode browser,i'm using firefox but it some site i render incorrectly
loil,modem
httpubuntuforumsorgshowthreadphpt276475,thaks
hey how to use amaya from terminal window without gui,amaya help doesnt work
debian hmm maybe wrong channel then,debian this is ubuntu
usb support,i got the usb to work just by creating a share
hi hw do u get all those fluidy shearing effects when u drag a window n all in karmc desktop,enable wobbly windows in compiz manager
xipietotec would that happen during a reboot,sorry i was looking at another screen hmm i would try
i think kino should be able to do that,the other thing you could do is to use split man split but you'll end up with nonstandard wmvs
i thought 510 was no longer supported,a few weeks left
yes but i have problems with resolution xp guest it doesnt offer me the hiighest res,did you install the guestadditions
need a little help how do i shut down the xserver from console mode the opposite of startx i guess,sudo invokercd gdm stop
no kde4 is not in the gutsy repos,use screen
salut,a tous
hello,is there a way i could force a drive that wont umount
who can help i got an error while installing the ubuntu 704 showing failed to unmount partitions,when does the error occur
most people here are just like you,why would you wanna do that
zandaa noi'll install it,select the auddvd option and multimedia codecs if you want
i mean can io install windows program in linux,wine can run some windows programs
has anyone tried compiz xgl in ubuntu the one in suse is a bit dodgy,whats gtranscode for
what package must i install to make soundjuicer rip audio cd mp3,i think the ugly set of plugins for gstreamer
im having some trouble with opening ports in kubuntu if anyones feeling helpful toss me a pm please,we usually talk to people right in the channel
httppasteubuntucom1080408 as you can see i have a large cpu issue with ubuntu one any chance you can help me,asked in ubuntuone yet
what's the default filesystem for hd install when using the current installer,1010
